,id,#HeavyAtom
2,DB00117,11
3,DB00118,27
4,DB00120,12
6,DB00123,10
7,DB00125,12
8,DB00127,14
9,DB00128,9
10,DB00130,10
11,DB00131,23
12,DB00134,9
13,DB00135,13
14,DB00140,27
15,DB00143,20
16,DB00147,12
17,DB00149,9
18,DB00150,15
19,DB00152,18
20,DB00158,32
21,DB00162,21
22,DB00163,31
23,DB00165,12
24,DB00169,28
25,DB00170,13
26,DB00172,8
27,DB00173,10
28,DB00175,30
29,DB00184,12
30,DB00194,19
31,DB00203,33
32,DB00205,17
33,DB00212,44
34,DB00223,29
35,DB00227,29
36,DB00232,20
37,DB00240,28
38,DB00255,20
39,DB00259,11
40,DB00266,25
41,DB00273,22
42,DB00277,13
43,DB00278,35
44,DB00281,17
45,DB00291,19
46,DB00293,32
47,DB00294,24
48,DB00302,11
49,DB00317,31
50,DB00321,21
51,DB00328,25
52,DB00360,17
53,DB00368,12
54,DB00373,21
55,DB00378,23
56,DB00381,28
57,DB00398,32
58,DB00399,16
59,DB00412,25
60,DB00417,24
61,DB00421,29
62,DB00428,18
63,DB00440,21
64,DB00441,18
65,DB00446,20
66,DB00456,26
67,DB00471,41
68,DB00480,19
69,DB00481,34
70,DB00495,19
71,DB00499,19
73,DB00513,9
74,DB00530,29
75,DB00539,29
76,DB00544,9
77,DB00547,27
78,DB00553,16
79,DB00558,23
80,DB00563,33
81,DB00583,11
82,DB00586,19
83,DB00594,15
84,DB00605,25
85,DB00613,25
86,DB00619,37
87,DB00623,30
88,DB00630,14
89,DB00631,20
90,DB00642,31
91,DB00655,20
92,DB00674,21
93,DB00679,25
94,DB00682,23
95,DB00695,21
96,DB00703,14
97,DB00709,15
98,DB00710,19
99,DB00712,18
100,DB00722,29
101,DB00727,15
102,DB00733,10
103,DB00742,12
104,DB00755,22
105,DB00775,30
106,DB00783,20
107,DB00788,17
108,DB00806,20
109,DB00818,13
110,DB00819,13
111,DB00820,29
112,DB00829,20
113,DB00834,32
114,DB00843,28
115,DB00850,27
116,DB00861,18
118,DB00866,18
119,DB00869,19
120,DB00884,17
121,DB00890,20
122,DB00900,17
123,DB00905,30
124,DB00908,24
125,DB00909,14
126,DB00933,26
127,DB00943,15
128,DB00946,21
129,DB00959,27
130,DB00966,39
131,DB00987,17
132,DB00988,11
133,DB00996,12
134,DB01004,18
135,DB01011,17
136,DB01023,25
137,DB01025,22
138,DB01026,36
139,DB01030,31
140,DB01037,14
141,DB01050,15
142,DB01051,44
143,DB01065,17
144,DB01076,41
145,DB01085,15
146,DB01087,19
147,DB01095,30
148,DB01098,33
149,DB01103,28
150,DB01113,25
151,DB01123,16
152,DB01128,29
153,DB01132,25
154,DB01142,21
155,DB01144,16
156,DB01151,20
157,DB01157,27
159,DB01172,33
160,DB01197,14
161,DB01200,43
162,DB01204,32
165,DB01216,27
166,DB01242,22
167,DB01244,27
168,DB01254,33
169,DB01259,40
170,DB01268,29
171,DB01367,13
172,DB01436,29
173,DB01586,28
174,DB01626,12
175,DB01656,26
176,DB02546,19
177,DB02959,16
180,DB04711,34
182,DB04835,37
183,DB04839,29
184,DB04868,39
185,DB05812,26
186,DB06228,29
187,DB06262,15
188,DB06605,34
189,DB06616,36
190,DB08604,17
191,DB08865,30
192,DB08881,33
193,DB08901,39
194,DB08906,37
195,DB08910,20
196,DB08916,34
